review_text,summary,cleaned_review,tokenized_review
 yet work like it's suppose to. My feet feel cradled in this shoe and hard surfaces don't make my feet ache anymore.\n\nThese shoes have a small amount of support, but not much, yet work like its suppose to my feet feel cradled in this shoe and hard surfaces dont make my feet ache anymorennthese shoes have a small amount of support,  work like suppose feet feel cradled shoe hard surfaces nt feet ache anymorennthese shoes small support
  I wear them for Zumba and my heel slips on turns. A little annoying because I have to pay attention but they are so cute and comfy, it balances out.,  i wear them for zumba and my heel slips on turns a little annoying because i have to pay attention but they are so cute and comfy,   wear zumba heel slips turns little annoying pay attention cute comfy
  These run large. I wear a 9.5 exactly in every shoe, but these I bought a 9,  these run large i wear a  exactly in every shoe,   run large wear   exactly shoe
  Perfect fit, very comfortable,  perfect fit,   perfect fit
  Really comfy and nice color,  Great and comfy for sports,  really comfy and nice color,   comfy nice color
  The picture makes the shoe look like it has a \boxier\ toe rather than the \pointier\ toe that it actually has. I have wider feet and generally need to buy a size or half size longer to get a comfortable width (in any brand of shoe). I was shooting for a rounder, broader toe design which is more comfortable for me,  the picture makes the shoe look like it has a boxier toe rather than the pointier toe that it actually has i have wider feet and generally need to buy a size or half size longer to get a comfortable width in any brand of shoe i was shooting for a rounder,   picture makes shoe look like boxier toe pointier toe actually wider feet generally need buy size half size longer comfortable width brand shoe shooting rounder
  These are the most comfortable shoes I've used for working out. Extremely light weight and flexible. Loved them so much I purchased two more pair in different colors.,  Best shoes ever!!!,  these are the most comfortable shoes ive used for working out extremely light weight and flexible loved them so much i purchased two more pair in different colors,   comfortable shoes ve working extremely light weight flexible loved purchased pair different colors
  Very comfortable and looks great!,  Five Stars,  very comfortable and looks great,   comfortable looks great
  Love this shoes so comfy and great very everyday use. Runs big,  Fits wonderful,  love this shoes so comfy and great very everyday use runs big,   love shoes comfy great everyday use runs big
  Nice looking and fit nice,  Four Stars,  nice looking and fit nice,   nice looking fit nice
 reviewerName: MerryM, reviewText: I am a recess aide and on my feet all day long. I tried these shoes on in the store before purchasing them on Amazon. They are very lightweight and comfortable. I was surprised how great they felt. I haven't had a pair of Nikes since Nike shoxs came out. They are so much more lightweight than those. I wore them an entire day the first day and had no problems. The second day; however, reviewername merrym,  reviewername merrym
  Perfict fit for me. Great looking shoes at a great price.,  nice,  perfict fit for me great looking shoes at a great price,   perfict fit great looking shoes great price
  The sneakers are very comfortable and fit to size.,  Five Stars,  the sneakers are very comfortable and fit to size,   sneakers comfortable fit size
 reviewerName: D. Resendes, reviewText: I've had these shoes for about a week now and have so far enjoyed using them. Considering the fact that I have wide feet, reviewername d resendes,  reviewername d resendes
  I really like them!,  Four Stars,  i really like them,   like
  ok but too big,  Three Stars,  ok but too big,   ok big
  Love these shoes.. they are so comfortable.,  Five Stars,  love these shoes they are so comfortable,   love shoes comfortable
  In really like these. I wear between a 9-9.5 womens, I got the 9.5 and they fit perfectly. They are light weight but have good support. I will buy another pair.,  in really like these i wear between a  womens,   like wear   womens
 asin: B0058YEJ5K, style: {Size::  7.5 D - Wide, asin byejk,  asin byejk
 asin: B0058YEJ5K, style: {Size::  10 B(M) US, asin byejk,  asin byejk
  The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable,  the shoes fit well in the arch area they are a little wider in the toe area of the shoe,   shoes fit arch area little wider toe area shoe
 reviewerName: Amazon Customer, reviewText: Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, reviewername amazon customer,  reviewername amazon customer
  I recommend that!,  Five Stars,  i recommend that,   recommend
  My son likes these, and this is the 2nd pair he's worn.,  my son likes these,   son likes
  Really great for walking I'm very glad I got these and the color is fun,  Five Stars,  really great for walking im very glad i got these and the color is fun,   great walking m glad got color fun
  Love these shoes. My feet feel so much better. Lots of padding and light enough to run in.,  Five Stars,  love these shoes my feet feel so much better lots of padding and light enough to run in,   love shoes feet feel better lots padding light run
 asin: B0014F7B98, style: {Size::  7.5 D - Wide, asin bfb,  asin bfb
 asin: B0014F7B98, style: {Size::  10 B(M) US, asin bfb,  asin bfb
  Fit fine...did not like color in person,  Three Stars,  fit finedid not like color in person,   fit finedid like color person
  The shoe is too large. When you do lunges it hurts the heel. The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large,  somewhat large fit,  the shoe is too large when you do lunges it hurts the heel the shoe size from a local store is the size i ordered from amazon however the size or fitting seems to be large,   shoe large lunges hurts heel shoe size local store size ordered amazon size fitting large
 asin: B009MA34NY, style: {Size::  7.5 W US, asin bmany,  asin bmany
 asin: B009MA34NY, style: {Size::  10 B(M) US, asin bmany,  asin bmany
  Super comfortable and fit my small feet perfectly. I have flat feet so a lot of shoes are not comfortable for long periods of time. I can wear the shoe all day long and they are super comfortable. They are light colored so any dirt will be seen right away, but they are easy to clean compared to other shoes Ive had. Would definitely buy another pair in a different color.,  super comfortable and fit my small feet perfectly i have flat feet so a lot of shoes are not comfortable for long periods of time i can wear the shoe all day long and they are super comfortable they are light colored so any dirt will be seen right away,   super comfortable fit small feet perfectly flat feet lot shoes comfortable long periods time wear shoe day long super comfortable light colored dirt seen right away
  Love these shoes!,  Very confortable!,  love these shoes,   love shoes
 reviewerName: JP, reviewText: Great shoe. I've had Nike's before and have always been pleased with the comfort, reviewername jp,  reviewername jp
 asin: B0092UF54A, style: {Size::  9 B(M) US, asin bufa,  asin bufa
 asin: B0092UF54A, style: {Size::  7.5 W US, asin bufa,  asin bufa
 asin: B0092UF54A, style: {Size::  10 B(M) US, asin bufa,  asin bufa
  Love these shoes! Great fit, very light weight.,  love these shoes great fit,   love shoes great fit
 asin: B005AGO4LU, style: {Size::  9 B(M) US, asin bagolu,  asin bagolu
 asin: B005AGO4LU, style: {Size::  7.5 W US, asin bagolu,  asin bagolu
 asin: B005AGO4LU, style: {Size::  10 B(M) US, asin bagolu,  asin bagolu
  Beautiful mirror finish-very comfortable. Looks great with my white gold engagement ring and you cant beat the price. I have another band like this in a different size that Ive had for 2 years and the finish is still beautiful with no scratches. If you want a beautiful ring at a great price I highly recommend the white tungsten carbide!!,  Beautiful!!!,  beautiful mirror finishvery comfortable looks great with my white gold engagement ring and you cant beat the price i have another band like this in a different size that ive had for  years and the finish is still beautiful with no scratches if you want a beautiful ring at a great price i highly recommend the white tungsten carbide,   beautiful mirror finishvery comfortable looks great white gold engagement ring nt beat price band like different size ve   years finish beautiful scratches want beautiful ring great price highly recommend white tungsten carbide
 reviewerName: Foxymoma82, reviewText: Love the mirror finish - very comfortable - scratchproof. Pairs beautifully with my white gold engagement ring., reviewername foxymoma,  reviewername foxymoma
  very nice...quick shipment...,  Five Stars,  very nicequick shipment,   nicequick shipment
  very nice...quick shipment,  Five Stars,  very nicequick shipment,   nicequick shipment
  very nice ....high quality....,  Five Stars,  very nice high quality,   nice high quality
  looks great,  Five Stars,  looks great,   looks great
  yes,  Five Stars,  yes,   yes
  Very nice,  Four Stars,  very nice,   nice
  Would recomend,  Soft. Strong. Comfortable!!,  would recomend,   recomend
  My favorite workout pants.  Have had them several months and use several times a week.  Keep me dry and stand up to a llt of washing!,  Love these pants!,  my favorite workout pants  have had them several months and use several times a week  keep me dry and stand up to a llt of washing,   favorite workout pants   months use times week   dry stand llt washing
  I ended up having to throw them out. The inside seam and around the private area was unraveling which can't happen when working out. I have a black pair which are just find so I think I got a defective pair.,  Good just watch the seams!,  i ended up having to throw them out the inside seam and around the private area was unraveling which cant happen when working out i have a black pair which are just find so i think i got a defective pair,   ended having throw inside seam private area unraveling nt happen working black pair find think got defective pair
  WOW!  I love these capris!  I ordered the deep teal and they are a very dark blue/teal (a much deeper prettier color than shown).  I received many compliments the first time I wore them to the gym.  They are super soft and comfortable from the leg all the way to the waist...COMFORTABLE.  They never slip down at the waist and give me full coverage (not see through at all). I am 5' 4\ and 159 pounds and I ordered a medium.  The size fit perfectly although that being said they are longer on me than the photo (probably my short legs) but came 2 inches above my ankle so just below my calf.  Given that I have weight to loose these are very flattering on as well.  They are also a nice stretchy fabric (thus the comfort) and cool.  We are in the high 90's and 100 degree summer weather and I am cool!  Purchase these as you won't be disappointed especially at this price.  I like these better than my Lululemon and Athleta capris!!!  I am back to purchase more!,  Comfortable Capris,  wow  i love these capris  i ordered the deep teal and they are a very dark blueteal a much deeper prettier color than shown  i received many compliments the first time i wore them to the gym  they are super soft and comfortable from the leg all the way to the waistcomfortable  they never slip down at the waist and give me full coverage not see through at all i am   and  pounds and i ordered a medium  the size fit perfectly although that being said they are longer on me than the photo probably my short legs but came  inches above my ankle so just below my calf  given that i have weight to loose these are very flattering on as well  they are also a nice stretchy fabric thus the comfort and cool  we are in the high s and  degree summer weather and i am cool  purchase these as you wont be disappointed especially at this price  i like these better than my lululemon and athleta capris  i am back to purchase more,   wow   love capris   ordered deep teal dark blueteal deeper prettier color shown   received compliments time wore gym   super soft comfortable leg way waistcomfortable   slip waist coverage      pounds ordered medium   size fit perfectly said longer photo probably short legs came   inches ankle calf   given weight loose flattering   nice stretchy fabric comfort cool   high s   degree summer weather cool   purchase wo nt disappointed especially price   like better lululemon athleta capris   purchase
 pretty colors and soft material.,  You will love the colors, pretty colors and soft material,  pretty colors soft material
  I used this for a costume and it worked well.,  Nice fit,  i used this for a costume and it worked well,   costume worked
  Husband was very happy. He now feels like he would fit in on the set of Downton Abbey.,  Nice vest.,  husband was very happy he now feels like he would fit in on the set of downton abbey,   husband happy feels like fit set downton abbey
  My ring shipped the same day that I placed the order and was received well before the estimated delivery date. It is absolutely beautiful!! It is a substantial ring without being overly heavy and is very comfortable to wear. I've cooked and cleaned with it on and it is still free of scratches and the finish is beautifully shiny. It also runs true to size. I highly recommend this ring and this seller!! Will definitely do business with them again.,  Beautiful ring - I love it!!!,  my ring shipped the same day that i placed the order and was received well before the estimated delivery date it is absolutely beautiful it is a substantial ring without being overly heavy and is very comfortable to wear ive cooked and cleaned with it on and it is still free of scratches and the finish is beautifully shiny it also runs true to size i highly recommend this ring and this seller will definitely do business with them again,   ring shipped day placed order received estimated delivery date absolutely beautiful substantial ring overly heavy comfortable wear ve cooked cleaned free scratches finish beautifully shiny runs true size highly recommend ring seller definitely business
 wide enough at the toe, but snug from toe to heel. That said I think a male size 8 is about it. Larger size feet might have a problem. Quality is OK for the price. You will see these socks sold singly on other sites at $12.99 each!  I like the socks and ordered a second set to put in my daughters Christmas stocking., wide enough at the toe,  wide toe
  I love this shoes they are so comfortable,  Five Stars,  i love this shoes they are so comfortable,   love shoes comfortable
  I absolutely LOVE these shoes. These are my absolute favorite. So light and comfortable. These are actually my 2nd pair. I am still wearing my 1st pair after 2 years and they look good still. I am just afraid they are going to disappear and I want a back up pair for when my 1st pair wears out. These have been the best shoes I've owned!,  I absolutely LOVE these shoes,  i absolutely love these shoes these are my absolute favorite so light and comfortable these are actually my nd pair i am still wearing my st pair after  years and they look good still i am just afraid they are going to disappear and i want a back up pair for when my st pair wears out these have been the best shoes ive owned,   absolutely love shoes absolute favorite light comfortable actually nd pair wearing st pair   years look good afraid going disappear want pair st pair wears best shoes ve owned
  Perfect fit!,  Five Stars,  perfect fit,   perfect fit
  My favorite cross trainers!,  Comfortable,  my favorite cross trainers,   favorite cross trainers
  Love them fit perfect,  Five Stars,  love them fit perfect,   love fit perfect
 reviewerName: Peter, reviewText: Favorite Nike shoe ever! The flex sole is excellent for someone like me who loves the free feeling of sandals or being barefoot. These move effortlessly with the bend of my foot. I've worn these for multiple activities and I've had no foot or ankle pain. The white/green/dark grey color goes with so many outfits and the mesh breathes perfectly on hot summer days. Highly recommend!, reviewername peter,  reviewername peter
  I wear these everyday to work, the gym,  i wear these everyday to work,   wear everyday work
 reviewerName: Beatrice Garcia, reviewText: Super comfortable and fit my small feet perfectly. I have flat feet so a lot of shoes are not comfortable for long periods of time. I can wear the shoe all day long and they are super comfortable. They are light colored so any dirt will be seen right away, reviewername beatrice garcia,  reviewername beatrice garcia
 asin: B010RRWKT4, style: {Size::  9 M US, asin brrwkt,  asin brrwkt
 reviewerName: Greg &amp; Kristin Hyder, reviewText: Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!, reviewername greg amp kristin hyder,  reviewername greg amp kristin hyder
 asin: B010RRWKT4, style: {Size::  7.5 W US, asin brrwkt,  asin brrwkt
 asin: B010RRWKT4, style: {Size::  10 M US, asin brrwkt,  asin brrwkt
 asin: B014IBJKNO, style: {Size::  9 M US, asin bibjkno,  asin bibjkno
 asin: B014IBJKNO, style: {Size::  7.5 W US, asin bibjkno,  asin bibjkno
 asin: B014IBJKNO, style: {Size::  10 M US, asin bibjkno,  asin bibjkno
  Very comfortable and fits perfectly,  Five Stars,  very comfortable and fits perfectly,   comfortable fits perfectly
  Largely my fault for not reading carefully, but the high synthetic fiber content made the shirt uncomfortable to the touch.  Not the manufacturer's fault,  largely my fault for not reading carefully,   largely fault reading carefully
 reviewerName: wayne ereira, reviewText: Size, reviewername wayne ereira,  reviewername wayne ereira
  Favorite Nike shoe ever! The flex sole is excellent for someone like me who loves the free feeling of sandals or being barefoot. These move effortlessly with the bend of my foot. I've worn these for multiple activities and I've had no foot or ankle pain. The white/green/dark grey color goes with so many outfits and the mesh breathes perfectly on hot summer days. Highly recommend!,  Love them!,  favorite nike shoe ever the flex sole is excellent for someone like me who loves the free feeling of sandals or being barefoot these move effortlessly with the bend of my foot ive worn these for multiple activities and ive had no foot or ankle pain the whitegreendark grey color goes with so many outfits and the mesh breathes perfectly on hot summer days highly recommend,   favorite nike shoe flex sole excellent like loves free feeling sandals barefoot effortlessly bend foot ve worn multiple activities ve foot ankle pain whitegreendark grey color goes outfits mesh breathes perfectly hot summer days highly recommend
